side,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,bars_held,gross_return_pct,net_return_pct,exit_reason,signal_score
short,2019-06-11 01:00:00,2019-06-11 10:00:00,7961.65,7821.131071,8074.065143,7821.131071,10,1.7649,1.6849,target,5.016
short,2019-06-17 14:00:00,2019-06-17 14:00:00,9239.54,9353.323143,9353.323143,9097.311071,1,-1.2315,-1.3115,stop,5.5739
short,2019-06-18 00:00:00,2019-06-18 05:00:00,9312.13,9123.300357,9463.193714,9123.300357,6,2.0278,1.9478,target,6.0028
short,2019-06-20 17:00:00,2019-06-20 18:00:00,9347.15,9423.474286,9423.474286,9251.744643,2,-0.8166,-0.8966,stop,5.4002
short,2019-06-21 16:00:00,2019-06-21 17:00:00,9790.39,9913.962571,9913.962571,9635.924286,2,-1.2622,-1.3422,stop,5.7451
short,2019-06-25 12:00:00,2019-06-25 12:00:00,11418.37,11231.480714,11567.881429,11231.480714,1,1.6367,1.5567,target,5.6719
long,2019-06-27 22:00:00,2019-06-28 00:00:00,10878.84,11609.4075,10294.386,11609.4075,3,6.7155,6.6355,target,5.7676
long,2019-06-30 17:00:00,2019-06-30 22:00:00,11296.46,11006.846,11006.846,11658.4775,6,-2.5638,-2.6438,stop,5.5797
long,2019-07-01 03:00:00,2019-07-01 12:00:00,11056.02,10703.297143,10703.297143,11496.923571,10,-3.1903,-3.2703,stop,4.9125
short,2019-07-09 00:00:00,2019-07-09 01:00:00,12238.6,12409.884571,12409.884571,12024.494286,2,-1.3995,-1.4795,stop,5.8529
long,2019-07-10 22:00:00,2019-07-11 03:00:00,11969.89,11661.833714,11661.833714,12354.960357,6,-2.5736,-2.6536,stop,4.9751
long,2019-07-11 08:00:00,2019-07-11 19:00:00,11585.6,11562.07,11219.162857,12043.646429,12,-0.2031,-0.2831,time,5.7468
long,2019-07-12 00:00:00,2019-07-12 07:00:00,11342.88,11701.008214,11056.377429,11701.008214,8,3.1573,3.0773,target,5.5598
long,2019-07-15 03:00:00,2019-07-15 14:00:00,10104.99,10480.330714,9804.717429,10480.330714,12,3.7144,3.6344,target,6.1124
short,2019-07-18 19:00:00,2019-07-19 06:00:00,10491.7,10456.97,10819.126,10082.4175,12,0.331,0.251,time,5.8028
long,2019-07-23 11:00:00,2019-07-23 20:00:00,10003.43,10199.272143,9846.756286,10199.272143,10,1.9577,1.8777,target,6.0139
