side,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,bars_held,gross_return_pct,net_return_pct,exit_reason,signal_score
long,2020-06-06 03:00:00,2020-06-06 09:00:00,9600.17,9684.857857,9532.419714,9684.857857,7,0.8821,0.8021,target,4.6035
short,2020-06-11 03:00:00,2020-06-11 06:00:00,9916.99,9812.735714,10000.393429,9812.735714,4,1.0513,0.9713,target,5.4319
short,2020-06-23 01:00:00,2020-06-23 12:00:00,9660.09,9631.07,9739.356857,9561.006429,12,0.3004,0.2204,time,5.1378
long,2020-07-05 08:00:00,2020-07-05 09:00:00,9062.17,9024.344286,9024.344286,9109.452143,2,-0.4174,-0.4974,stop,5.7092
long,2020-07-05 13:00:00,2020-07-05 14:00:00,9042.76,9002.212857,9002.212857,9093.443929,2,-0.4484,-0.5284,stop,5.5845
short,2020-07-07 01:00:00,2020-07-07 02:00:00,9328.01,9256.881071,9384.913143,9256.881071,2,0.7625,0.6825,target,5.9011
long,2020-07-19 13:00:00,2020-07-19 16:00:00,9132.46,9160.848571,9109.749143,9160.848571,4,0.3109,0.2309,target,5.2549
short,2020-07-23 15:00:00,2020-07-23 16:00:00,9493.85,9537.898571,9537.898571,9438.789286,2,-0.464,-0.544,stop,6.0432
short,2020-07-26 00:00:00,2020-07-26 08:00:00,9700.42,9756.540571,9756.540571,9630.269286,9,-0.5785,-0.6585,stop,5.8727
short,2020-08-02 01:00:00,2020-08-02 01:00:00,11782.63,11928.101714,11928.101714,11600.790357,1,-1.2346,-1.3146,stop,5.6328
short,2020-08-06 17:00:00,2020-08-06 21:00:00,11824.91,11702.072857,11923.179714,11702.072857,5,1.0388,0.9588,target,5.7166
short,2020-08-14 18:00:00,2020-08-15 00:00:00,11787.65,11875.035714,11875.035714,11678.417857,7,-0.7413,-0.8213,stop,4.9243
long,2020-08-19 17:00:00,2020-08-19 20:00:00,11754.2,11624.156,11624.156,11916.755,4,-1.1064,-1.1864,stop,5.7639
long,2020-08-19 21:00:00,2020-08-20 08:00:00,11715.36,11760.01,11596.187143,11864.326071,12,0.3811,0.3011,time,4.8819
short,2020-08-24 13:00:00,2020-08-24 19:00:00,11775.37,11706.385,11830.558,11706.385,7,0.5858,0.5058,target,5.1409
short,2020-08-31 14:00:00,2020-08-31 21:00:00,11713.87,11629.318214,11781.511429,11629.318214,8,0.7218,0.6418,target,6.0548
long,2020-09-05 19:00:00,2020-09-05 19:00:00,10156.72,9938.817143,9938.817143,10519.891429,1,-2.1454,-2.2254,stop,6.0103
short,2020-09-10 06:00:00,2020-09-10 14:00:00,10374.57,10474.452,10474.452,10208.1,9,-0.9628,-1.0428,stop,5.6291
short,2020-09-13 07:00:00,2020-09-13 11:00:00,10523.52,10425.317143,10582.441714,10425.317143,5,0.9332,0.8532,target,5.1777
short,2020-09-13 09:00:00,2020-09-13 10:00:00,10539.81,10449.564286,10593.957429,10449.564286,2,0.8562,0.7762,target,5.9662
long,2020-09-13 15:00:00,2020-09-13 16:00:00,10324.77,10249.776,10249.776,10449.76,2,-0.7264,-0.8064,stop,5.6133
long,2020-09-13 18:00:00,2020-09-14 05:00:00,10276.69,10337.75,10197.866286,10408.062857,12,0.5942,0.5142,time,5.8121
short,2020-09-15 05:00:00,2020-09-15 10:00:00,10731.41,10817.865714,10817.865714,10587.317143,6,-0.8056,-0.8856,stop,4.724
short,2020-09-16 14:00:00,2020-09-16 16:00:00,10923.01,11019.941714,11019.941714,10761.457143,3,-0.8874,-0.9674,stop,5.8426
short,2020-09-16 19:00:00,2020-09-17 06:00:00,11010.29,10865.41,11119.297143,10828.611429,12,1.3159,1.2359,time,5.1966
long,2020-09-20 17:00:00,2020-09-21 00:00:00,10852.26,10969.538571,10781.892857,10969.538571,8,1.0807,1.0007,target,6.1318
long,2020-09-22 01:00:00,2020-09-22 12:00:00,10457.98,10487.47,10333.729429,10665.064286,12,0.282,0.202,time,5.0717
short,2020-09-25 21:00:00,2020-09-26 05:00:00,10707.81,10791.753429,10791.753429,10567.904286,9,-0.7839,-0.8639,stop,5.633
