side,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,bars_held,gross_return_pct,net_return_pct,exit_reason,signal_score
long,2026-04-27 20:00:00,2026-04-27 23:00:00,76878.23,77441.017143,76503.038571,77441.017143,4,0.7321,0.6521,target,5.7568
long,2026-04-28 11:00:00,2026-04-28 11:00:00,76618.35,76281.334286,76281.334286,77123.873571,1,-0.4399,-0.5199,stop,5.6036
long,2026-04-28 17:00:00,2026-04-29 01:00:00,76125.04,76657.940714,75769.772857,76657.940714,9,0.7,0.62,target,5.7143
short,2026-04-29 11:00:00,2026-04-29 12:00:00,77619.62,77095.890714,77968.772857,77095.890714,2,0.6747,0.5947,target,6.1489
long,2026-04-29 20:00:00,2026-04-30 01:00:00,75563.87,76368.021071,75027.769286,76368.021071,6,1.0642,0.9842,target,5.659
long,2026-05-08 04:00:00,2026-05-08 10:00:00,79578.84,80199.677143,79164.948571,80199.677143,7,0.7802,0.7002,target,5.6986
long,2026-05-08 08:00:00,2026-05-08 10:00:00,79682.4,80182.929643,79348.713571,80182.929643,3,0.6282,0.5482,target,5.2348
long,2026-05-12 12:00:00,2026-05-12 13:00:00,80784.86,80482.014286,80482.014286,81239.128571,2,-0.3749,-0.4549,stop,4.8272
short,2026-05-14 19:00:00,2026-05-15 02:00:00,81582.0,80787.126429,82111.915714,80787.126429,8,0.9743,0.8943,target,5.9333
long,2026-05-18 17:00:00,2026-05-18 20:00:00,76410.0,77044.56,75986.96,77044.56,4,0.8305,0.7505,target,5.9788
long,2026-05-26 04:00:00,2026-05-26 10:00:00,76664.0,77136.100357,76349.266429,77136.100357,7,0.6158,0.5358,target,5.7252
long,2026-05-28 00:00:00,2026-05-28 03:00:00,74449.31,73971.567857,73971.567857,75165.923214,4,-0.6417,-0.7217,stop,6.0928
long,2026-05-28 15:00:00,2026-05-28 21:00:00,73033.06,73767.0025,72543.765,73767.0025,7,1.0049,0.9249,target,6.3907
