side,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,bars_held,gross_return_pct,net_return_pct,exit_reason,signal_score
short,2020-06-23 01:00:00,2020-06-23 09:00:00,9660.09,9603.91,9726.145714,9508.161857,9,0.5816,0.5016,time,6.1378
long,2020-08-19 17:00:00,2020-08-19 19:00:00,11754.2,11645.83,11645.83,12003.451,3,-0.922,-1.002,stop,6.7639
short,2020-08-24 13:00:00,2020-08-24 21:00:00,11775.37,11755.09,11821.36,11669.593,9,0.1722,0.0922,time,6.1409
short,2020-08-31 14:00:00,2020-08-31 22:00:00,11713.87,11651.38,11770.237857,11584.223929,9,0.5335,0.4535,time,7.0548
short,2020-09-16 19:00:00,2020-09-17 03:00:00,11010.29,10872.09,11101.129286,10801.359643,9,1.2552,1.1752,time,6.1966
long,2020-09-20 17:00:00,2020-09-21 01:00:00,10852.26,10943.91,10793.620714,10987.130357,9,0.8445,0.7645,time,7.1318
short,2020-09-25 21:00:00,2020-09-26 05:00:00,10707.81,10777.762857,10777.762857,10546.918429,9,-0.6533,-0.7333,stop,6.633
long,2020-10-02 11:00:00,2020-10-02 19:00:00,10461.13,10515.04,10392.296429,10619.447214,9,0.5153,0.4353,time,6.784
long,2020-12-05 01:00:00,2020-12-05 09:00:00,18764.23,19110.42,18553.36,19249.231,9,1.8449,1.7649,time,5.8914
long,2020-12-09 06:00:00,2020-12-09 07:00:00,18206.57,18002.990714,18002.990714,18674.802357,2,-1.1182,-1.1982,stop,6.8347
long,2020-12-11 07:00:00,2020-12-11 07:00:00,17923.6,17745.872143,17745.872143,18332.374071,1,-0.9916,-1.0716,stop,6.5247
short,2020-12-27 02:00:00,2020-12-27 06:00:00,26619.14,27039.058571,27039.058571,25653.327286,5,-1.5775,-1.6575,stop,6.4417
short,2020-12-27 12:00:00,2020-12-27 20:00:00,27647.55,26383.2055,28197.265,26383.2055,9,4.5731,4.4931,target,7.5362
short,2021-03-07 15:00:00,2021-03-07 16:00:00,50644.47,51237.017857,51237.017857,49281.609929,2,-1.17,-1.25,stop,7.1533
short,2021-03-18 17:00:00,2021-03-18 19:00:00,59074.61,57488.761643,59764.109286,57488.761643,3,2.6845,2.6045,target,6.1438
long,2021-03-25 17:00:00,2021-03-26 01:00:00,51303.96,52255.41,50366.277143,53460.630571,9,1.8545,1.7745,time,6.0434
long,2021-04-29 21:00:00,2021-04-30 05:00:00,52977.71,54293.392143,52405.674286,54293.392143,9,2.4835,2.4035,target,6.7717
short,2021-06-15 01:00:00,2021-06-15 09:00:00,40355.89,40099.58,40936.767143,39019.872571,9,0.6351,0.5551,time,6.7477
long,2021-06-22 01:00:00,2021-06-22 09:00:00,31783.14,31584.03,30960.325,33675.6145,9,-0.6265,-0.7065,time,6.7111
long,2021-06-26 11:00:00,2021-06-26 19:00:00,31096.11,31573.98,30400.880714,32695.137357,9,1.5368,1.4568,time,6.6571
long,2021-07-05 18:00:00,2021-07-06 02:00:00,33695.78,33919.83,33339.695,34514.7755,9,0.6649,0.5849,time,6.8599
long,2021-08-03 19:00:00,2021-08-04 03:00:00,38194.22,37976.81,37756.032857,39202.050429,9,-0.5692,-0.6492,time,6.3399
long,2021-08-26 13:00:00,2021-08-26 21:00:00,46943.76,47253.83,46372.325714,48258.058857,9,0.6605,0.5805,time,7.1741
short,2021-09-15 02:00:00,2021-09-15 10:00:00,47050.73,47513.699286,47513.699286,45985.900643,9,-0.984,-1.064,stop,6.7193
short,2021-09-16 08:00:00,2021-09-16 13:00:00,48343.52,47525.810857,48699.045714,47525.810857,6,1.6915,1.6115,target,6.6196
long,2021-09-29 19:00:00,2021-09-30 00:00:00,41306.78,42257.284571,40893.517143,42257.284571,6,2.3011,2.2211,target,6.2891
long,2021-09-29 22:00:00,2021-09-30 00:00:00,41236.0,42151.5035,40837.955,42151.5035,3,2.2202,2.1402,target,5.8349
short,2021-10-25 12:00:00,2021-10-25 13:00:00,62759.19,63211.910714,63211.910714,61717.932357,2,-0.7214,-0.8014,stop,7.0768
long,2021-10-31 15:00:00,2021-10-31 22:00:00,60435.23,61567.814071,59942.802143,61567.814071,8,1.874,1.794,target,6.987
long,2021-12-28 15:00:00,2021-12-28 16:00:00,49078.29,48608.756429,48608.756429,50158.217214,2,-0.9567,-1.0367,stop,7.1727
short,2022-01-12 22:00:00,2022-01-13 06:00:00,43776.6,43708.42,44202.416429,42797.222214,9,0.1557,0.0757,time,6.8736
short,2022-03-28 16:00:00,2022-03-28 18:00:00,47422.51,47738.629286,47738.629286,46695.435643,3,-0.6666,-0.7466,stop,6.5899
short,2022-03-29 13:00:00,2022-03-29 16:00:00,47843.32,47158.081,48141.25,47158.081,4,1.4323,1.3523,target,6.9382
short,2022-05-23 01:00:00,2022-05-23 06:00:00,30280.51,30548.873571,30548.873571,29663.273786,6,-0.8863,-0.9663,stop,6.7818
long,2022-06-11 10:00:00,2022-06-11 10:00:00,29073.02,28883.327143,28883.327143,29509.313571,1,-0.6525,-0.7325,stop,7.0703
short,2022-06-20 16:00:00,2022-06-20 18:00:00,20824.74,19866.836,21241.22,19866.836,3,4.5998,4.5198,target,6.704
long,2022-06-27 19:00:00,2022-06-28 01:00:00,20821.05,20623.724286,20623.724286,21274.899143,7,-0.9477,-1.0277,stop,6.9385
long,2022-06-29 12:00:00,2022-06-29 13:00:00,20104.81,19902.083571,19902.083571,20571.080786,2,-1.0083,-1.0883,stop,6.8928
long,2022-09-14 13:00:00,2022-09-14 14:00:00,20309.08,20140.703571,20140.703571,20696.345786,2,-0.8291,-0.9091,stop,6.5644
long,2022-09-23 17:00:00,2022-09-23 22:00:00,18766.72,19221.714214,18568.896429,19221.714214,6,2.4245,2.3445,target,6.812
short,2022-10-17 17:00:00,2022-10-17 22:00:00,19511.0,19626.247857,19626.247857,19245.929929,6,-0.5907,-0.6707,stop,6.7366
short,2022-12-14 12:00:00,2022-12-14 12:00:00,17824.93,17885.597857,17885.597857,17685.393929,1,-0.3404,-0.4204,stop,6.8786
short,2023-01-02 07:00:00,2023-01-02 07:00:00,16641.1,16680.957143,16680.957143,16549.428571,1,-0.2395,-0.3195,stop,6.2604
long,2023-02-22 20:00:00,2023-02-23 02:00:00,23791.68,24261.428714,23587.441429,24261.428714,7,1.9744,1.8944,target,6.46
long,2023-03-09 11:00:00,2023-03-09 16:00:00,21646.98,21518.827857,21518.827857,21941.729929,6,-0.592,-0.672,stop,7.0492
short,2023-03-20 10:00:00,2023-03-20 18:00:00,28198.05,27980.02,28592.357857,27291.141929,9,0.7732,0.6932,time,5.9214
long,2023-04-18 02:00:00,2023-04-18 06:00:00,29373.53,29716.588143,29224.374286,29716.588143,5,1.1679,1.0879,target,7.1467
long,2023-07-07 01:00:00,2023-07-07 09:00:00,30052.59,30138.79,29754.543571,30738.096786,9,0.2868,0.2068,time,5.7961
short,2023-08-08 22:00:00,2023-08-09 06:00:00,29854.97,29725.52,30041.382857,29426.220429,9,0.4336,0.3536,time,7.1094
short,2023-09-12 17:00:00,2023-09-13 01:00:00,26109.32,25957.47,26376.131429,25495.653714,9,0.5816,0.5016,time,7.0852
long,2023-09-25 07:00:00,2023-09-25 15:00:00,26138.0,26243.72,25979.507857,26502.531929,9,0.4045,0.3245,time,7.1325
short,2023-10-16 01:00:00,2023-10-16 01:00:00,27141.87,27247.227143,27247.227143,26899.548571,1,-0.3882,-0.4682,stop,7.0526
short,2023-12-06 15:00:00,2023-12-06 23:00:00,44050.01,43762.69,44394.017143,43258.793571,9,0.6523,0.5723,time,6.8761
long,2023-12-17 09:00:00,2023-12-17 14:00:00,41894.31,41687.776429,41687.776429,42369.337214,6,-0.493,-0.573,stop,6.8645
short,2023-12-27 23:00:00,2023-12-28 00:00:00,43323.81,43628.899286,43628.899286,42622.104643,2,-0.7042,-0.7842,stop,6.8578
short,2024-02-25 03:00:00,2024-02-25 06:00:00,51602.06,51793.255714,51793.255714,51162.309857,4,-0.3705,-0.4505,stop,7.0601
short,2024-03-07 20:00:00,2024-03-08 04:00:00,67498.03,67069.22,68120.635714,66066.036857,9,0.6353,0.5553,time,6.5946
